club,name,position,cost,matches_played,goals,assists,yellow_cards,red_cards,penalty_attempted,penalty_scored,penalty_saved,avg_rating,magic_avg_rating,magic_total_points
napoli,Lozano H.,T,26,32.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,6.26,7.29,33.0
atalanta,Gollini P.,GK,20,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.24,5.4,-21.0
benevento,Lapadula G.,FW,22,36.0,8.0,2.0,2.0,0.0,1.0,0.0,1.0,5.9,6.51,22.0
udinese,De Paul R.,T,32,36.0,9.0,7.0,3.0,2.0,3.0,3.0,0.0,6.54,7.63,39.3
crotone,Messias J.,T,24,36.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,6.33,7.08,27.0
spezia,Dellorco C.,DF,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,5.58,0.0
bologna,Soumaoro A.,DF,11,20.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6.12,2.4
bologna,Danilo L.,DF,9,35.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,5.81,5.72,-3.2
lazio,Musacchio M.,DF,8,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.12,6.0,-0.5
juventus,Bonucci L.,DF,16,25.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.9,6.2,7.5
benevento,Montipo L.,GK,10,37.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.01,4.02,-73.7
napoli,Mario Rui S.,DF,10,23.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.84,5.82,-0.4
sampdoria,Askildsen K.,MF,4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.83,-0.5
spezia,Erlic M.,DF,15,23.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,5.95,6.45,11.5
parma,Laurini V.,DF,5,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.54,5.5,-0.5
lazio,Acerbi F.,DF,13,32.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,6.04,5.93,-3.5
lazio,Armini N.,DF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
napoli,Osimhen V.,FW,33,24.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,6.37,7.62,30.0
udinese,De Maio S.,DF,8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,5.77,0.0
inter,Perisic I.,T,19,31.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,5.83,6.2,11.5
bologna,Skov Olsen A.,T,12,23.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.84,6.17,7.6
roma,Mirante A.,GK,9,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.11,4.8,-17.0
udinese,Forestieri F.,FW,11,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.71,5.93,3.5
roma,Mkhitaryan H.,T,36,34.0,13.0,10.0,2.0,0.0,1.0,1.0,0.0,6.38,8.17,60.9
torino,Gojak A.,T,11,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.7,6.08,4.6
sassuolo,Ayhan K.,DF,8,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.73,5.65,-1.0
inter,Kolarov A.,DF,19,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.25,5.5,1.0
juventus,Bernardeschi F.,T,12,20.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.75,5.8,1.0
crotone,Henrique E.,MF,6,17.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.44,5.55,1.9
fiorentina,Kokorin A.,FW,14,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.16,5.0,-0.5
crotone,Magallan L.,DF,7,28.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,5.44,5.46,0.6
genoa,Masiello A.,DF,9,30.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.81,5.71,-3.0
sassuolo,Toljan J.,DF,8,23.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.65,5.69,0.9
fiorentina,Terracciano P.,GK,7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37,6.12,-1.0
juventus,Frabotta G.,DF,4,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.56,5.56,0.0
genoa,Badelj M.,MF,15,29.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,6.12,6.2,2.3
cagliari,Vicario G.,GK,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.0,-6.0
verona,Colley E.,T,11,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.91,6.05,2.5
inter,De Vrij S.,DF,20,32.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.31,6.42,3.5
crotone,Luperto S.,DF,4,22.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.43,5.31,-2.7
fiorentina,Callejon J.,T,14,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.46,5.53,0.9
genoa,Zima L.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roma,Boer P.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roma,Farelli S.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parma,Busi M.,DF,5,19.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.34,5.31,-0.6
inter,Bastoni A.,DF,15,33.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,6.13,6.1,-1.0
lazio,Hoedt W.,DF,5,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.29,5.04,-3.0
crotone,Ounas A.,T,23,20.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,6.27,7.05,15.6
sampdoria,Candreva A.,MF,21,33.0,5.0,7.0,1.0,0.0,2.0,2.0,0.0,6.01,6.81,26.4
spezia,Agudelo K.,MF,12,27.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,6.01,6.12,2.9
spezia,Ferrer S.,DF,6,16.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.78,5.71,-1.1
parma,Inglese R.,FW,14,13.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.57,5.65,1.1
napoli,Ospina D.,GK,20,16.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,5.25,-12.0
sassuolo,Pegolo G.,GK,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
fiorentina,Kouame C.,FW,13,22.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.63,5.77,3.0
udinese,Nuytinck B.,DF,15,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.31,6.52,4.0
crotone,Marrone L.,DF,5,19.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.6,5.28,-6.1
fiorentina,Barreca A.,DF,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,5.75,0.0
parma,Pezzella G.,DF,11,24.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,5.91,6.12,5.1
spezia,Nzola M.,FW,23,25.0,11.0,3.0,5.0,0.0,4.0,4.0,0.0,6.04,7.38,33.5
benevento,Letizia G.,DF,15,22.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,6.09,6.7,13.4
genoa,Pandev G.,FW,22,28.0,7.0,3.0,5.0,0.0,1.0,1.0,0.0,5.87,6.64,21.5
fiorentina,Igor Julio d.,DF,8,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.88,5.75,-2.3
roma,Spinazzola L.,DF,19,26.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,6.26,6.69,11.1
sampdoria,Damsgaard M.,T,14,30.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,5.98,6.3,9.6
genoa,Czyborra L.,DF,9,16.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.78,6.0,3.5
genoa,Strootman K.,MF,14,18.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,6.11,6.08,-0.6
juventus,Fagioli N.,MF,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
crotone,Zanellato N.,MF,7,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.52,5.72,4.4
atalanta,Caldara M.,DF,9,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.66,5.5,-0.5
sampdoria,Augello T.,DF,12,37.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,5.9,6.05,5.6
napoli,Koulibaly K.,DF,15,25.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,6.12,5.92,-5.0
torino,Baselli D.,MF,11,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.8,5.7,-1.0
juventus,Demiral M.,DF,12,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.86,5.9,0.4
fiorentina,Castrovilli G.,MF,16,32.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,5.85,6.42,18.2
crotone,Benali A.,MF,12,17.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.94,5.94,0.0
cagliari,Deiola A.,MF,8,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.73,5.64,-1.5
spezia,Agoume L.,MF,7,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.2,6.1,-1.0
crotone,Golemic V.,DF,5,28.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,5.3,5.51,5.9
spezia,Ricci M.,MF,10,28.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,5.98,5.92,-1.6
udinese,Makengo J.,MF,8,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.76,5.73,-0.4
udinese,Samir C.,DF,11,28.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.96,6.01,1.4
napoli,Demme D.,MF,17,21.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,6.3,6.64,7.1
lazio,Lulic S.,DF,11,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.56,5.53,-0.4
sassuolo,Piccinini S.,DF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udinese,Larsen J.,DF,17,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,6.31,8.9
roma,Ibanez -.,DF,7,30.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,5.81,5.66,-4.5
napoli,Hysaj E.,DF,10,21.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.9,5.9,0.0
verona,Ilic I.,MF,11,27.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.98,6.24,7.0
sampdoria,Leris M.,MF,8,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.9,5.85,-0.5
genoa,Marchetti F.,GK,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,2.62,-11.0
genoa,Criscito D.,DF,17,22.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,6.04,6.11,1.5
milan,Calhanoglu H.,T,24,33.0,4.0,9.0,4.0,0.0,1.0,1.0,0.0,6.16,6.86,23.1
verona,Barak A.,MF,21,34.0,7.0,3.0,5.0,1.0,0.0,0.0,0.0,6.14,6.95,27.5
bologna,Palacio R.,FW,23,32.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,6.12,6.67,17.6
napoli,Mertens D.,FW,28,27.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,6.07,7.21,31.9
napoli,Politano M.,T,24,34.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,6.08,7.2,38.1
bologna,Breza S.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sassuolo,Caputo F.,FW,32,24.0,11.0,3.0,1.0,0.0,3.0,3.0,0.0,5.91,7.39,35.6
atalanta,Lammers S.,FW,16,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,6.68,6.0
spezia,Acampora G.,MF,4,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.55,5.44,-1.0
juventus,Ronaldo C.,FW,47,33.0,29.0,2.0,3.0,0.0,8.0,6.0,2.0,6.34,8.81,81.5
fiorentina,Pulgar E.,MF,14,28.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,5.75,5.85,2.8
udinese,Palumbo M.,MF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sampdoria,Ramirez G.,T,13,22.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.79,5.77,-0.5
crotone,Molina S.,MF,9,29.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.77,5.89,3.5
parma,Gervinho,T,17,27.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.55,6.14,15.9
inter,Sanchez A.,FW,25,26.0,7.0,6.0,0.0,0.0,1.0,0.0,1.0,6.26,7.19,24.1
genoa,Biraschi D.,DF,7,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.65,5.57,-1.1
inter,Ranocchia A.,DF,9,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.25,6.25,0.0
cagliari,Simeone G.,FW,18,29.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,5.68,6.32,18.6
fiorentina,Ribery F.,T,21,29.0,2.0,6.0,6.0,1.0,0.0,0.0,0.0,6.1,6.37,7.8
atalanta,Gosens R.,DF,32,32.0,11.0,6.0,7.0,1.0,0.0,0.0,0.0,6.42,7.95,49.0
verona,Gunter K.,DF,10,24.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,5.95,-1.2
genoa,Cassata F.,MF,6,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.5,5.3,-1.0
benevento,Di Serio G.,FW,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68,5.68,0.0
cagliari,Cerri A.,FW,10,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.81,6.04,2.5
parma,Pelle G.,FW,16,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.68,6.09,4.5
sassuolo,Schiappacasse N.,T,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0
cagliari,Aresti S.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torino,Belotti A.,FW,30,34.0,13.0,6.0,4.0,0.0,5.0,4.0,1.0,6.29,7.47,40.1
fiorentina,Malcuit K.,DF,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,5.33,0.0
torino,Rincon T.,MF,11,36.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,5.93,5.93,0.0
sampdoria,Jankto J.,MF,19,33.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,6.0,6.74,24.4
sassuolo,Rogerio O.,DF,9,25.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.96,5.88,-2.0
roma,Calafiori R.,DF,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.25,4.75,-1.0
parma,Kurtic J.,MF,13,34.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,5.63,6.02,13.3
milan,Mandzukic M.,FW,14,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,5.58,0.0
roma,Veretout J.,MF,28,28.0,10.0,1.0,4.0,0.0,5.0,5.0,0.0,6.25,7.64,38.9
lazio,Patric P.,DF,6,23.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,5.54,5.41,-3.0
roma,Peres B.,DF,12,26.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,5.8,5.94,3.6
sampdoria,Verre V.,T,16,20.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.02,6.66,13.5
roma,Dzeko E.,FW,25,25.0,7.0,3.0,2.0,0.0,1.0,0.0,1.0,5.98,6.78,20.0
crotone,Cuomo G.,DF,4,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.54,5.37,-2.1
spezia,Krapikas T.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milan,Hernandez T.,DF,27,33.0,7.0,5.0,9.0,0.0,0.0,0.0,0.0,6.16,7.13,32.0
roma,Fazio F.,DF,11,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.6,6.3,3.5
torino,Lukic S.,MF,10,32.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,5.73,6.04,9.9
napoli,Maksimovic N.,DF,6,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.53,5.35,-2.5
sassuolo,Chiriches V.,DF,11,23.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,5.73,5.95,5.1
atalanta,Zapata D.,FW,37,37.0,15.0,7.0,0.0,0.0,1.0,1.0,0.0,6.21,7.62,52.1
crotone,Reca A.,DF,13,30.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,5.93,6.18,7.5
parma,Rinaldi F.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torino,Singo W.,DF,9,27.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.96,6.12,4.3
crotone,Djidji K.,DF,8,18.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.63,5.77,2.6
inter,Dambrosio D.,DF,18,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.44,13.0
napoli,Meret A.,GK,13,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,4.79,-29.0
bologna,Tomiyasu T.,DF,13,31.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.98,6.14,4.9
torino,Ansaldi C.,DF,16,25.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,6.05,6.4,9.1
parma,Alves B.,DF,11,19.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.68,5.84,3.1
atalanta,Pessina M.,MF,19,26.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.32,6.63,8.1
spezia,Galabinov A.,FW,11,8.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,5.93,6.68,6.0
benevento,Hetemaj P.,MF,12,29.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,6.03,6.01,-0.6
fiorentina,Borja Valero I.,MF,11,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.85,5.7,-1.5
benevento,Improta R.,T,9,33.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,5.9,5.86,-1.3
roma,Lopez P.,GK,17,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16,4.78,-29.0
sampdoria,Bereszynski B.,DF,12,31.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.95,6.06,3.4
benevento,Glik K.,DF,12,36.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,5.83,5.88,1.8
bologna,Dijks M.,DF,7,20.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.8,5.62,-3.6
spezia,Vignali L.,DF,4,21.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.54,5.4,-2.9
benevento,Depaoli F.,MF,7,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.57,5.42,-3.0
lazio,Pereira A.,T,10,16.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,5.58,5.72,2.6
cagliari,Duncan A.,MF,13,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.82,5.85,0.6
udinese,Braaf J.,T,5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,6.62,3.0
atalanta,Maehle J.,DF,12,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.08,6.2,2.0
roma,Pastore J.,T,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
bologna,Skorupski L.,GK,13,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.1,4.66,-40.3
genoa,Destro M.,FW,21,25.0,11.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,7.26,31.5
torino,Murru N.,DF,6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,0.0
parma,Sprocati M.,T,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
atalanta,Palomino J.,DF,18,31.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.33,6.46,4.1
spezia,Gyasi E.,T,16,36.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,5.83,6.27,15.8
torino,Nkoulou N.,DF,14,18.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.94,6.05,2.0
genoa,Zappacosta D.,DF,22,24.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,6.43,7.04,14.7
parma,Sohm S.,MF,6,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.52,5.73,3.6
napoli,Bakayoko T.,MF,15,26.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,6.05,6.25,5.2
cagliari,Zappa G.,DF,9,31.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,5.75,5.83,2.4
inter,Martinez L.,FW,33,38.0,17.0,3.0,5.0,0.0,2.0,2.0,0.0,6.44,7.8,51.7
milan,Donnarumma G.,GK,24,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.43,5.47,-35.5
spezia,Terzi C.,DF,9,23.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,5.77,5.81,0.9
juventus,Dybala P.,T,28,19.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.86,6.65,15.1
lazio,Milinkovic S.,MF,32,32.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,6.35,7.54,38.1
benevento,Lucatelli I.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lazio,Akpa Akpro J.,MF,5,25.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,5.66,5.52,-3.5
milan,Donnarumma A.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crotone,Simy -.,FW,32,37.0,20.0,2.0,1.0,0.0,8.0,8.0,0.0,5.87,7.54,61.8
